,id,code,team_h,team_h_score,team_a,team_a_score,event,finished,minutes,provisional_start_time,kickoff_time,event_name,is_home,difficulty,element
0,201,2210471,1,,12,,21.0,False,0,False,2022-01-01T12:30:00Z,Gameweek 21,True,4,1
1,218,2210488,17,,1,,22.0,False,0,False,2022-01-16T16:30:00Z,Gameweek 22,False,3,1
2,221,2210491,1,,5,,23.0,False,0,False,2022-01-22T15:00:00Z,Gameweek 23,True,2,1
3,236,2210506,20,,1,,24.0,False,0,False,2022-02-10T19:45:00Z,Gameweek 24,False,3,1
4,251,2210521,1,,3,,26.0,False,0,False,2022-02-19T15:00:00Z,Gameweek 26,True,2,1
5,279,2210549,18,,1,,28.0,False,0,False,2022-03-05T15:00:00Z,Gameweek 28,False,2,1
6,281,2210551,1,,9,,29.0,False,0,False,2022-03-12T15:00:00Z,Gameweek 29,True,3,1
7,291,2210561,2,,1,,30.0,False,0,False,2022-03-19T15:00:00Z,Gameweek 30,False,3,1
8,304,2210574,7,,1,,31.0,False,0,False,2022-04-02T14:00:00Z,Gameweek 31,False,3,1
9,311,2210581,1,,4,,32.0,False,0,False,2022-04-09T14:00:00Z,Gameweek 32,True,3,1
10,326,2210596,16,,1,,33.0,False,0,False,2022-04-16T14:00:00Z,Gameweek 33,False,2,1
11,331,2210601,1,,13,,34.0,False,0,False,2022-04-23T14:00:00Z,Gameweek 34,True,4,1
12,349,2210619,19,,1,,35.0,False,0,False,2022-04-30T14:00:00Z,Gameweek 35,False,4,1
13,351,2210621,1,,10,,36.0,False,0,False,2022-05-07T14:00:00Z,Gameweek 36,True,2,1
14,365,2210635,14,,1,,37.0,False,0,False,2022-05-15T14:00:00Z,Gameweek 37,False,2,1
15,371,2210641,1,,8,,38.0,False,0,False,2022-05-22T15:00:00Z,Gameweek 38,True,3,1
16,243,2210513,6,,1,,,False,0,False,,,False,5,1
17,191,2210461,1,,20,,,False,0,False,,,True,3,1
18,261,2210531,1,,11,,,False,0,False,,,True,4,1
19,201,2210471,1,,12,,21.0,False,0,False,2022-01-01T12:30:00Z,Gameweek 21,True,4,4
20,218,2210488,17,,1,,22.0,False,0,False,2022-01-16T16:30:00Z,Gameweek 22,False,3,4
21,221,2210491,1,,5,,23.0,False,0,False,2022-01-22T15:00:00Z,Gameweek 23,True,2,4
22,236,2210506,20,,1,,24.0,False,0,False,2022-02-10T19:45:00Z,Gameweek 24,False,3,4
23,251,2210521,1,,3,,26.0,False,0,False,2022-02-19T15:00:00Z,Gameweek 26,True,2,4
24,279,2210549,18,,1,,28.0,False,0,False,2022-03-05T15:00:00Z,Gameweek 28,False,2,4
25,281,2210551,1,,9,,29.0,False,0,False,2022-03-12T15:00:00Z,Gameweek 29,True,3,4
26,291,2210561,2,,1,,30.0,False,0,False,2022-03-19T15:00:00Z,Gameweek 30,False,3,4
27,304,2210574,7,,1,,31.0,False,0,False,2022-04-02T14:00:00Z,Gameweek 31,False,3,4
28,311,2210581,1,,4,,32.0,False,0,False,2022-04-09T14:00:00Z,Gameweek 32,True,3,4
29,326,2210596,16,,1,,33.0,False,0,False,2022-04-16T14:00:00Z,Gameweek 33,False,2,4
30,331,2210601,1,,13,,34.0,False,0,False,2022-04-23T14:00:00Z,Gameweek 34,True,4,4
31,349,2210619,19,,1,,35.0,False,0,False,2022-04-30T14:00:00Z,Gameweek 35,False,4,4
32,351,2210621,1,,10,,36.0,False,0,False,2022-05-07T14:00:00Z,Gameweek 36,True,2,4
