,element,fixture,opponent_team,total_points,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,position,was_home,was_home_True,opponent_difficulty,form
0,3,1,7,2,2022-08-05T19:00:00Z,0,2,1,90,0,0,1,0,0,0,0,1,0,0,0,12,16.6,15.0,2.0,3.4,1,0.00,0.06,0.06,1.21,50,0,48303,0,0,Midfielder,0,0,4,0.0
2,6,1,7,3,2022-08-05T19:00:00Z,0,2,1,90,0,0,1,0,0,0,0,0,0,0,0,17,22.6,12.9,10.0,4.6,1,0.10,0.02,0.12,1.21,50,0,39617,0,0,Midfielder,0,0,4,0.0
3,7,1,7,3,2022-08-05T19:00:00Z,0,2,1,90,0,0,1,0,0,0,0,0,0,0,0,9,3.4,8.3,23.0,3.5,1,0.09,0.06,0.15,1.21,65,0,1133257,0,0,Midfielder,0,0,4,0.0
4,8,1,7,1,2022-08-05T19:00:00Z,0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,3,6.0,0.2,0.0,0.6,0,0.00,0.00,0.00,0.00,50,0,105345,0,0,Defender,0,0,4,0.0
5,10,1,7,5,2022-08-05T19:00:00Z,0,2,1,90,0,0,1,0,0,0,0,1,0,0,0,25,31.4,12.0,0.0,4.3,1,0.00,0.03,0.03,1.21,45,0,533085,0,0,Defender,0,0,4,0.0
6,11,1,7,1,2022-08-05T19:00:00Z,0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,4,2.2,10.3,0.0,1.3,0,0.00,0.04,0.04,0.00,70,0,67198,0,0,Forward,0,0,4,0.0
8,13,1,7,6,2022-08-05T19:00:00Z,0,2,1,90,0,1,1,0,0,0,0,0,0,0,0,10,1.8,7.6,36.0,4.5,1,0.26,0.11,0.37,1.21,80,0,1772492,0,0,Midfielder,0,0,4,0.0
9,15,1,7,6,2022-08-05T19:00:00Z,0,2,1,90,0,0,1,0,0,0,0,0,0,2,0,25,19.0,0.0,0.0,1.9,1,0.00,0.01,0.01,1.21,50,0,1128297,0,0,Goalkeeper,0,0,4,0.0
10,16,1,7,7,2022-08-05T19:00:00Z,0,2,1,90,0,0,1,0,0,0,0,0,0,0,1,26,24.2,0.6,2.0,2.7,1,0.00,0.01,0.01,1.21,50,0,689975,0,0,Defender,0,0,4,0.0
11,19,1,7,8,2022-08-05T19:00:00Z,0,2,1,90,1,0,1,0,0,0,0,0,0,0,0,23,38.2,15.2,39.0,9.2,1,0.38,0.05,0.43,1.21,60,0,1728741,0,0,Midfielder,0,0,4,0.0
14,28,1,7,2,2022-08-05T19:00:00Z,0,2,1,82,0,0,1,0,0,0,0,0,0,0,0,7,7.4,3.2,38.0,4.9,1,0.15,0.08,0.23,1.21,80,0,6018571,0,0,Forward,0,0,4,0.0
15,313,1,7,12,2022-08-05T19:00:00Z,0,2,1,82,0,1,1,0,0,0,0,0,0,0,3,38,40.0,23.3,21.0,8.4,1,0.03,0.35,0.38,1.21,50,0,1170032,0,0,Defender,0,0,4,0.0
16,18,1,7,1,2022-08-05T19:00:00Z,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,0,19266,0,0,Midfielder,0,0,4,0.0
20,158,1,1,1,2022-08-05T19:00:00Z,0,2,1,15,0,0,0,1,0,0,0,0,0,0,0,3,0.8,1.4,0.0,0.2,0,0.00,0.01,0.01,0.17,45,0,54854,0,0,Midfielder,1,1,2,0.0
21,159,1,1,2,2022-08-05T19:00:00Z,0,2,1,90,0,0,0,2,0,0,0,0,0,0,0,5,16.4,37.3,20.0,7.4,1,0.05,0.02,0.07,1.00,55,0,22658,0,0,Midfielder,1,1,2,0.0
22,161,1,1,2,2022-08-05T19:00:00Z,0,2,1,85,0,0,0,2,0,0,0,0,0,0,0,11,13.4,7.0,32.0,5.2,1,0.24,0.01,0.25,0.92,50,0,16304,0,0,Midfielder,1,1,2,0.0
23,163,1,1,1,2022-08-05T19:00:00Z,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.3,4.0,0.4,0,0.00,0.00,0.00,0.08,50,0,2729,0,0,Midfielder,1,1,2,0.0
25,165,1,1,1,2022-08-05T19:00:00Z,0,2,1,90,0,0,0,2,0,0,0,0,0,0,0,20,37.4,12.2,6.0,5.6,1,0.00,0.14,0.14,1.00,45,0,218564,0,0,Defender,1,1,2,0.0
26,166,1,1,1,2022-08-05T19:00:00Z,0,2,1,57,0,0,0,1,0,0,0,0,0,0,0,-5,3.0,1.5,55.0,6.0,1,0.22,0.00,0.22,0.74,55,0,273605,0,0,Forward,1,1,2,0.0
27,167,1,1,-1,2022-08-05T19:00:00Z,0,2,1,90,0,0,0,2,1,0,0,0,0,0,0,7,16.6,1.4,0.0,1.8,1,0.00,0.01,0.01,1.00,45,0,178083,0,0,Defender,1,1,2,0.0
28,168,1,1,1,2022-08-05T19:00:00Z,0,2,1,32,0,0,0,1,0,0,0,0,0,0,0,2,0.0,11.2,10.0,2.0,0,0.14,0.01,0.15,0.26,55,0,67462,0,0,Forward,1,1,2,0.0
29,169,1,1,2,2022-08-05T19:00:00Z,0,2,1,85,0,0,0,2,0,0,0,0,0,0,0,7,6.8,8.1,21.0,3.6,1,0.49,0.06,0.55,0.92,55,0,74770,0,0,Midfielder,1,1,2,0.0
30,170,1,1,1,2022-08-05T19:00:00Z,0,2,1,90,0,0,0,2,0,0,0,0,0,0,0,11,13.8,1.9,0.0,1.6,1,0.00,0.01,0.01,1.00,45,0,74150,0,0,Defender,1,1,2,0.0
33,514,1,1,2,2022-08-05T19:00:00Z,0,2,1,74,0,0,0,1,0,0,0,0,0,0,0,16,5.8,3.8,0.0,1.0,1,0.00,0.02,0.02,0.83,50,0,9875,0,0,Midfielder,1,1,2,0.0
37,3,11,10,12,2022-08-13T14:00:00Z,4,2,2,90,1,1,0,2,0,0,0,0,0,0,2,35,54.8,25.5,28.0,10.8,1,0.38,0.10,0.48,0.46,50,-629,65418,9001,9630,Midfielder,1,1,4,2.0
39,6,11,10,2,2022-08-13T14:00:00Z,4,2,2,90,0,0,0,2,0,0,0,0,0,0,0,9,5.4,4.8,39.0,4.9,1,0.39,0.02,0.41,0.46,50,4047,61511,12745,8698,Midfielder,1,1,4,3.0
40,7,11,10,2,2022-08-13T14:00:00Z,4,2,2,90,0,0,0,2,0,0,0,0,0,0,0,19,7.6,15.3,12.0,3.5,1,0.03,0.07,0.10,0.46,65,-78957,1175045,58220,137177,Midfielder,1,1,4,3.0
41,8,11,10,1,2022-08-13T14:00:00Z,4,2,2,13,0,0,0,0,0,0,0,0,0,0,0,3,0.6,0.7,0.0,0.1,0,0.00,0.00,0.00,0.16,50,-14780,102375,3078,17858,Defender,1,1,4,1.0
42,10,11,10,1,2022-08-13T14:00:00Z,4,2,2,74,0,0,0,2,0,0,0,0,0,0,0,8,9.8,3.3,0.0,1.3,1,0.00,0.02,0.02,0.30,45,-5992,567751,34000,39992,Defender,1,1,4,5.0
43,11,11,10,1,2022-08-13T14:00:00Z,4,2,2,6,0,0,0,0,0,0,0,0,0,0,0,1,2.2,0.5,17.0,2.0,0,0.04,0.00,0.04,0.13,69,-17931,57718,3918,21849,Forward,1,1,4,1.0
44,12,11,10,1,2022-08-13T14:00:00Z,4,2,2,6,0,0,0,0,0,0,0,0,0,0,0,6,5.0,14.3,0.0,1.9,0,0.00,0.12,0.12,0.13,59,-48857,93669,1122,49979,Midfielder,1,1,4,0.0
45,13,11,10,2,2022-08-13T14:00:00Z,4,2,2,83,0,0,0,2,0,0,0,0,0,0,0,18,13.8,43.9,23.0,8.1,1,0.04,0.29,0.33,0.33,80,-38146,1922750,93462,131608,Midfielder,1,1,4,6.0
